date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:52:42	462/462	---M-Z	404	error ('Not%20Found')	text/html	etag:%2217c03b5-2ea-58d6a9d6822f8;58b40dd798179-gzip%22	http://freetemplates.bz/robots.txt		(from )
16:52:43	14377/14377	---M-Z	200	added ('OK')	text/html	etag:%2261828ed-3829-4ca112614e140-gzip%22	http://freetemplates.bz/design/wieldstrem/	C:/My%20Web%20Sites/uni%20amsterdam/freetemplates.bz/design/wieldstrem/index.html	(from )
16:52:43	22941/22941	---M-Z	200	added ('OK')	text/css	etag:%2261c36da-599d-4ca110ad79d00-gzip%22	http://freetemplates.bz/design/wieldstrem/css/stylesheet.css	C:/My%20Web%20Sites/uni%20amsterdam/freetemplates.bz/design/wieldstrem/css/stylesheet.css	(from http://freetemplates.bz/design/wieldstrem/)
16:52:44	1879/1879	---M-Z	200	added ('OK')	text/css	etag:%2261c36d8-757-4ca110ab91880-gzip%22	http://freetemplates.bz/design/wieldstrem/css/layerslider.css	C:/My%20Web%20Sites/uni%20amsterdam/freetemplates.bz/design/wieldstrem/css/layerslider.css	(from http://freetemplates.bz/design/wieldstrem/)
16:52:45	16952/16952	---M-Z	200	added ('OK')	text/css	date:Wed,%2019%20Sep%202012%2017:07:31%20GMT	http://freetemplates.bz/design/wieldstrem/css/prettyPhoto.css	C:/My%20Web%20Sites/uni%20amsterdam/freetemplates.bz/design/wieldstrem/css/prettyPhoto.css	(from http://freetemplates.bz/design/wieldstrem/)
16:52:46	8111/8111	---M-Z	200	added ('OK')	application/javascript	etag:%2261c3754-1faf-4ca1117a840c0-gzip%22	http://freetemplates.bz/design/wieldstrem/js/jquery-easing-1.3.js	C:/My%20Web%20Sites/uni%20amsterdam/freetemplates.bz/design/wieldstrem/js/jquery-easing-1.3.js	(from http://freetemplates.bz/design/wieldstrem/)
16:52:47	1274/1274	---M-Z	200	added ('OK')	application/javascript	etag:%2261c3758-4fa-4ca1117d60780-gzip%22	http://freetemplates.bz/design/wieldstrem/js/menu.js	C:/My%20Web%20Sites/uni%20amsterdam/freetemplates.bz/design/wieldstrem/js/menu.js	(from http://freetemplates.bz/design/wieldstrem/)
16:52:48	3901/3901	---M--	200	added ('OK')	application/javascript	etag:%2261c3753-f3d-4ca1bb3b8c0c0%22	http://freetemplates.bz/design/wieldstrem/js/custom.js	C:/My%20Web%20Sites/uni%20amsterdam/freetemplates.bz/design/wieldstrem/js/custom.js	(from http://freetemplates.bz/design/wieldstrem/)
16:52:48	14697/14697	---M-Z	200	added ('OK')	application/javascript	etag:%2261c3756-3969-4ca1117c6c540-gzip%22	http://freetemplates.bz/design/wieldstrem/js/jquery.quicksand.js	C:/My%20Web%20Sites/uni%20amsterdam/freetemplates.bz/design/wieldstrem/js/jquery.quicksand.js	(from http://freetemplates.bz/design/wieldstrem/)
16:52:49	14377/14377	---M-Z	200	added ('OK')	text/html	etag:%2261828ed-3829-4ca112614e140-gzip%22	http://freetemplates.bz/design/wieldstrem/index.html	C:/My%20Web%20Sites/uni%20amsterdam/freetemplates.bz/design/wieldstrem/index-2.html	(from http://freetemplates.bz/design/wieldstrem/)
16:52:49	25040/25040	---M-Z	200	added ('OK')	application/javascript	etag:%2261c3755-61d0-4ca1117c6c540-gzip%22	http://freetemplates.bz/design/wieldstrem/js/jquery.prettyPhoto.js	C:/My%20Web%20Sites/uni%20amsterdam/freetemplates.bz/design/wieldstrem/js/jquery.prettyPhoto.js	(from http://freetemplates.bz/design/wieldstrem/)
16:52:50	93868/93868	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.7.1/jquery.min.js	C:/My%20Web%20Sites/uni%20amsterdam/ajax.googleapis.com/ajax/libs/jquery/1.7.1/jquery.min.js	(from http://freetemplates.bz/design/wieldstrem/)
16:52:50	8430/8430	---M--	200	added ('OK')	image/png	etag:%2261c3717-20ee-4ca1112f2cf00%22	http://freetemplates.bz/design/wieldstrem/images/logo.png	C:/My%20Web%20Sites/uni%20amsterdam/freetemplates.bz/design/wieldstrem/images/logo.png	(from http://freetemplates.bz/design/wieldstrem/)
16:52:50	2499/2499	---M--	200	added ('OK')	image/png	etag:%2261c3709-9c3-4ca1111e02680%22	http://freetemplates.bz/design/wieldstrem/images/facebook.png	C:/My%20Web%20Sites/uni%20amsterdam/freetemplates.bz/design/wieldstrem/images/facebook.png	(from http://freetemplates.bz/design/wieldstrem/)
16:52:51	2497/2497	---M--	200	added ('OK')	image/png	etag:%2261c3737-9c1-4ca1115552900%22	http://freetemplates.bz/design/wieldstrem/images/twitter.png	C:/My%20Web%20Sites/uni%20amsterdam/freetemplates.bz/design/wieldstrem/images/twitter.png	(from http://freetemplates.bz/design/wieldstrem/)
16:52:51	2649/2649	---M--	200	added ('OK')	image/png	etag:%2261c3710-a59-4ca11125a3880%22	http://freetemplates.bz/design/wieldstrem/images/google+.png	C:/My%20Web%20Sites/uni%20amsterdam/freetemplates.bz/design/wieldstrem/images/google+.png	(from http://freetemplates.bz/design/wieldstrem/)
16:52:52	2501/2501	---M--	200	added ('OK')	image/png	etag:%2261c373b-9c5-4ca1115a17440%22	http://freetemplates.bz/design/wieldstrem/images/youtube.png	C:/My%20Web%20Sites/uni%20amsterdam/freetemplates.bz/design/wieldstrem/images/youtube.png	(from http://freetemplates.bz/design/wieldstrem/)
16:52:52	2629/2629	---M--	200	added ('OK')	image/png	etag:%2261c3707-a45-4ca1111c1a200%22	http://freetemplates.bz/design/wieldstrem/images/dribbble.png	C:/My%20Web%20Sites/uni%20amsterdam/freetemplates.bz/design/wieldstrem/images/dribbble.png	(from http://freetemplates.bz/design/wieldstrem/)
16:52:53	10034/10034	---M-Z	200	added ('OK')	text/html	etag:%2261828e8-2732-4ca1125b953c0-gzip%22	http://freetemplates.bz/design/wieldstrem/about.html	C:/My%20Web%20Sites/uni%20amsterdam/freetemplates.bz/design/wieldstrem/about.html	(from http://freetemplates.bz/design/wieldstrem/)
